PermissionName,ApplicationPermission,DelegatePermission,Description,ApiCount,ApplicationGuid,DelegateGuid,SourceFiles,View
MultiTenantOrganization.ReadWrite.All,False,False,Read and write multi-tenant organization details and tenants,0,,,,https://graphpermissions.merill.net/permission/MultiTenantOrganization.ReadWrite.All.html
NetworkAccess.Read.All,False,False,Read all network access information,0,,,,https://graphpermissions.merill.net/permission/NetworkAccess.Read.All.html
NetworkAccess.ReadWrite.All,False,False,Read and write all network access information,0,,,,https://graphpermissions.merill.net/permission/NetworkAccess.ReadWrite.All.html
NetworkAccessBranch.Read.All,False,False,Read properties of branches for network access,0,,,,https://graphpermissions.merill.net/permission/NetworkAccessBranch.Read.All.html
NetworkAccessBranch.ReadWrite.All,False,False,Read and write properties of branches for network access,0,,,,https://graphpermissions.merill.net/permission/NetworkAccessBranch.ReadWrite.All.html
NetworkAccessPolicy.Read.All,False,False,Read security and routing policies for network access,18,,,networkaccess-branchconnectivityconfiguration-get|networkaccess-filteringpolicy-get|networkaccess-fi,https://graphpermissions.merill.net/permission/NetworkAccessPolicy.Read.All.html
NetworkAccessPolicy.ReadWrite.All,False,False,Read and write security and routing policies for network access,27,,,networkaccess-branchconnectivityconfiguration-get|networkaccess-filteringpolicy-get|networkaccess-fi,https://graphpermissions.merill.net/permission/NetworkAccessPolicy.ReadWrite.All.html
Notes.Read.All,False,False,Read all OneNote notebooks that user can access,0,,,,https://graphpermissions.merill.net/permission/Notes.Read.All.html
Notes.ReadWrite.All,False,False,Read and write all OneNote notebooks that user can access,0,,,,https://graphpermissions.merill.net/permission/Notes.ReadWrite.All.html
OnlineMeetingArtifact.Read.All,False,False,Read user's online meeting artifacts,0,,,,https://graphpermissions.merill.net/permission/OnlineMeetingArtifact.Read.All.html
OnlineMeetingRecording.Read.All,False,False,Read all recordings of online meetings.,4,,,callrecording-get|callrecording-get|callrecording-get|callrecording-get|onlinemeeting-list-recording,https://graphpermissions.merill.net/permission/OnlineMeetingRecording.Read.All.html
OnlineMeetings.Read.All,False,False,Read online meeting details,0,,,,https://graphpermissions.merill.net/permission/OnlineMeetings.Read.All.html
OnlineMeetings.ReadWrite.All,False,False,Read and create online meetings,5,,,onlinemeeting-createorget|onlinemeeting-delete|onlinemeeting-delete|application-post-onlinemeetings|,https://graphpermissions.merill.net/permission/OnlineMeetings.ReadWrite.All.html
OnlineMeetingTranscript.Read.All,False,False,"Read all transcripts of online meetings. ",0,,,,https://graphpermissions.merill.net/permission/OnlineMeetingTranscript.Read.All.html
OnPremDirectorySynchronization.Read.All,False,False,Read all on-premises directory synchronization information,0,,,,https://graphpermissions.merill.net/permission/OnPremDirectorySynchronization.Read.All.html
OnPremDirectorySynchronization.ReadWrite.All,False,False,Read and write all on-premises directory synchronization information,0,,,,https://graphpermissions.merill.net/permission/OnPremDirectorySynchronization.ReadWrite.All.html
OnPremisesPublishingProfiles.ReadWrite.All,False,False,Manage on-premises published resources,0,,,,https://graphpermissions.merill.net/permission/OnPremisesPublishingProfiles.ReadWrite.All.html
Organization.Read.All,False,False,Read organization information,1,,,organization-get|organization-get|organization-get|organization-get|,https://graphpermissions.merill.net/permission/Organization.Read.All.html
Organization.ReadWrite.All,False,False,Read and write organization information,1,,,organization-get|organization-get|organization-get|organization-get|,https://graphpermissions.merill.net/permission/Organization.ReadWrite.All.html
